nameActual,nameNBA,nameBREF
fg3m,FG3M,X3P
fg3m,tpm,X3P
fg3mOpponent,OPP_FG3M,NA
fg3mOpponentRank,OPP_FG3M_RANK,NA
fg3mRank,RANK_FG3M,NA
fg3mRank,FG3M_RANK,NA
fg3mRankF,F_RANK_FG3M,NA
fg3mRankPer36,RANK_PMIN_FG3M,NA
fg3mRankPerGame,RANK_PG_FG3M,NA
fga,FGA,FGA
fga,fga,FGA
fgaContested,CFGA,NA
fgaDefending,D_FGA,NA
fgaOpponent,OPP_FGA,NA
fgaOpponentRank,OPP_FGA_RANK,NA
fgaPerGame,FGA_PG,NA
fgaPerGame,FGAG,NA
fgaPerGameRank,FGA_PG_RANK,NA
fgaRank,RANK_FGA,NA
fgaRank,FGA_RANK,NA
fgaRankF,F_RANK_FGA,NA
fgaRankPerGame,RANK_PG_FGA,NA
fgaRimDefended,DFGA,NA
fgaUncontested,UFGA,NA
fgContested,CONTESTED_SHOTS,NA
fgm,FGM,FG
fgm,fgm,FG
fgm3Contested,CFG3A,NA
fgm3mContested,CFG3M,NA
fgmContested,CFGM,NA
fgmDefending,D_FGM,NA
fgMissPerGame,FGmG,NA
fgmOpponent,OPP_FGM,NA
fgmOpponentRank,OPP_FGM_RANK,NA
fgmPerGame,FGM_PG,NA
fgmPerGame,FGMG,NA
fgmPerGameRank,FGM_PG_RANK,NA
fgmRank,RANK_FGM,NA
fgmRank,FGM_RANK,NA
fgmRankF,F_RANK_FGM,NA
fgmRankPer36,RANK_PMIN_FGM,NA
fgmRankPerGame,RANK_PG_FGM,NA
fgmRimDefended,DFGM,NA
fgmTotal,FGm,NA
fgmUncontested,UFGM,NA
filterContext,ContextFilter,NA
flagNBA,NBA_FLAG,NA
fptsFDActual,FAN_DUEL_PTS,NA
fptsNBAActual,NBA_FANTASY_PTS,NA
fptsRank,NBA_FANTASY_PTS_RANK,NA
fptsRankF,F_RANK_PTS,NA
frequencyFG2A,FG2A_FREQUENCY,NA
frequencyFG3A,FG3A_FREQUENCY,NA
frequencyFGA,FGA_FREQUENCY,NA
fta,FTA,FTA
fta,fta,FTA
ftaOpponent,OPP_FTA,NA
ftaOpponentRank,OPP_FTA_RANK,NA
ftaRank,RANK_FTA,NA
ftaRankF,F_RANK_FTA,NA
ftaRankPer36,RANK_PMIN_FTA,NA
ftaRankPerGame,RANK_PG_FTA,NA
ftAST,FTAST,NA
ftm,FTM,FT
ftm,ftm,FT
ftmOpponent,OPP_FTM,NA
ftmOpponentRank,OPP_FTM_RANK,NA
ftmRank,RANK_FTM,NA
ftmRankF,F_RANK_FTM,NA
ftmRankPer36,RANK_PMIN_FTM,NA
ftmRankPerGame,RANK_PG_FTM,NA
gamesBack,GB,NA
gamesBackConference,ConferenceGamesBack,NA
gamesBackDivision,DivisionGamesBack,NA
gamesBehindDivision,divGamesBehind,NA
gamesBehindPlayoffs,gamesBehind,NA
gamesRemaining,REMAINING_G,NA
gamesRemainingAtHomeSeedHome,HIGH_SEED_SERIES_REMAINING_HOME_G,NA
gamesRemainingAway,REMAINING_AWAY_G,NA
gamesRemainingAwaySeedHome,HIGH_SEED_SERIES_REMAINING_AWAY_G,NA
gamesRemainingHome,REMAINING_HOME_G,NA
gamesRemainingOver500,GR_OVER_500,NA
gamesRemainingOver500Away,GR_OVER_500_AWAY,NA
gamesRemainingOver500Home,GR_OVER_500_HOME,NA
gamesRemainingSeedHome,HIGH_SEED_SERIES_REMAINING_G,NA
gamesRemainingUnder500,GR_UNDER_500,NA
gamesRemainingUnder500Away,GR_UNDER_500_AWAY,NA
gamesRemainingUnder500Home,GR_UNDER_500_HOME,NA
gp,GP,NA
gp,G,NA
gpRank,GP_RANK,NA
gpRankF,F_RANK_GP,NA
groupOrderValue,GROUP_VALUE_ORDER,NA
groupPosition,PLAYER_POSITION,NA
groupPosition,POSITION,NA
groupPosition,Position,NA
groupPosition,P,NA
groupStartPosition,START_POSITION,NA
gs,GS,NA
hasClinchedConference,CLINCHED_CONFERENCE,NA
hasClinchedConferenceTitle,ClinchedConferenceTitle,NA
hasClinchedDivision,CLINCHED_DIVISION,NA
hasClinchedDivisionTitle,ClinchedDivisionTitle,NA
hasClinchedPlayoffBirth,ClinchedPlayoffBirth,NA
hasClinchedPlayoffs,CLINCHED_PLAYOFFS,NA
hasDLeagueFlag,DLEAGUE_FLAG,NA
hasGamesPlayedFlag,GAMES_PLAYED_FLAG,NA
hasHistoricalStatus,HISTORICAL_STATUS,NA
hasHustleStats,HUSTLE_STATUS,NA
hasPT,PT_AVAILABLE,NA
hasPTXYZ,PT_XYZ_AVAILABLE,NA
hasStatusWH,WH_STATUS,NA
hasVideo,VIDEO_AVAILABLE,NA
hasVideo,VIDEO_AVAILABLE_FLAG,NA
heightFeet,heightFeet,NA
heightInches,HEIGHT,NA
heightInches,heightInches,NA
heightMeters,heightMeters,NA
heightWOShoes,HEIGHT_WO_SHOES_FT_IN,NA
heightWOShoesInches,HEIGHT_WO_SHOES,NA
heightWShoes,HEIGHT_W_SHOES_FT_IN,NA
heightWShoesInches,HEIGHT_W_SHOES,NA
idCIF,CFID,NA
idEvent,GAME_EVENT_ID,NA
idGame,GAME_ID,NA
idGame,GameID,NA
idGame,gid,NA
idGameLast,LAST_GAME_ID,NA
idGameStatus,GAME_STATUS_ID,NA
idGroup,GROUP_ID,NA
idLeague,LEAGUE_ID,NA
idLeague,LeagueID,NA
idLeague,LeagueID,NA
idMobile,mid,NA
idMonth,Month,NA
idOffical,OFFICIAL_ID,NA
idOrganization,ORGANIZATION_ID,NA
idPeriod,Period,NA
idPersonType1,PERSON1TYPE,NA
idPersonType2,PERSON2TYPE,NA
idPersonType3,PERSON3TYPE,NA
idPlayer,PERSON_ID,NA
idPlayer,PLAYER_ID,NA
idPlayer,PlayerID,NA
idPlayer,PlayerIDSID,NA
idPlayer,PLAYERID,NA
idPlayer,CLOSE_DEF_PERSON_ID,NA
idPlayer,personId,NA
idPlayer,idPlayer,NA
idPlayer,pid,NA
idPlayerASTLeader,AST_PLAYER_ID,NA
idPlayerDefense,DEF_PLAYER_ID,NA
idPlayerNBA1,PLAYER1_ID,NA
idPlayerNBA2,PLAYER2_ID,NA
idPlayerNBA3,PLAYER3_ID,NA
idPlayerOffense,OFF_PLAYER_ID,NA
idPlayerOnOff,VS_PLAYER_ID,NA
idPlayerPasser,PASS_TEAMMATE_PLAYER_ID,NA
idPlayerPTSLeader,PTS_PLAYER_ID,NA
idPlayerTeam,PLAYER_LAST_TEAM_ID,NA
idPlayerTREBLeader,REB_PLAYER_ID,NA
idPlayoffRound,PORound,NA
idRotoWorld,RotoId,NA
idSeason,SeasonID,NA
idTeam,TEAM_ID,NA
idTeam,TeamID,NA
idTeam,Team_ID,NA
idTeam,TeamID,NA
idTeam,TeamIDSID,NA
idTeam,teamId,NA
idTeam,teamId,NA
idTeam,tid,NA
idTeamAway,VISITOR_TEAM_ID,NA
idTeamAwayLast,LAST_GAME_VISITOR_TEAM_ID,NA
idTeamDefense,DEF_TEAM_ID,NA
idTeamFrom,Additional_Sort,NA
idTeamHigh,HIGH_SEED_TEAM_ID,NA
idTeamHome,HOME_TEAM_ID,NA
idTeamHomeLast,LAST_GAME_HOME_TEAM_ID,NA
idTeamLow,LOW_SEED_TEAM_ID,NA
idTeamOffense,OFF_TEAM_ID,NA
idTeamOpponent,OpponentTeamID,NA
idTeamOpponent,OppTeamID,NA
idTeamPlayer1,PLAYER1_TEAM_ID,NA
idTeamPlayer2,PLAYER2_TEAM_ID,NA
idTeamPlayer3,PLAYER3_TEAM_ID,NA
idUpdate,UpdateId,NA
isActive,ROSTERSTATUS,NA
isActive,isActive,NA
